Photon in MeV,Mass attenuation coefficient
1.00E-03,1.91E+03
1.50E-03,6.55E+02
2.00E-03,3.02E+02
2.15E-03,2.49E+02
2.15E-03,2.47E+03
3.00E-03,1.12E+03
4.00E-03,5.24E+02
5.00E-03,2.86E+02
6.00E-03,1.73E+02
8.00E-03,7.66E+01
1.00E-02,4.04E+01
1.50E-02,1.24E+01
2.00E-02,5.35E+00
3.00E-02,1.70E+00
4.00E-02,8.10E-01
5.00E-02,4.92E-01
6.00E-02,3.49E-01
8.00E-02,2.32E-01
1.00E-01,1.87E-01
1.50E-01,1.43E-01
2.00E-01,1.25E-01
3.00E-01,1.06E-01
4.00E-01,9.36E-02
5.00E-01,8.51E-02
6.00E-01,7.85E-02
8.00E-01,6.88E-02
1.00E+00,6.18E-02
1.02E+00,6.12E-02
1.25E+00,5.53E-02
1.50E+00,5.04E-02
2.00E+00,4.36E-02
2.04E+00,4.31E-02
3.00E+00,3.59E-02
4.00E+00,3.17E-02
5.00E+00,2.92E-02
6.00E+00,2.75E-02
7.00E+00,2.63E-02
8.00E+00,2.55E-02
9.00E+00,2.50E-02
1.00E+01,2.45E-02
1.10E+01,2.42E-02
1.20E+01,2.40E-02
1.30E+01,2.38E-02
1.40E+01,2.37E-02
1.50E+01,2.36E-02
1.60E+01,2.36E-02
1.80E+01,2.36E-02
2.00E+01,2.36E-02
2.20E+01,2.37E-02
2.40E+01,2.38E-02
2.60E+01,2.40E-02
2.80E+01,2.41E-02
3.00E+01,2.43E-02
4.00E+01,2.51E-02
5.00E+01,2.58E-02
6.00E+01,2.65E-02
8.00E+01,2.76E-02
1.00E+02,2.84E-02
1.50E+02,2.99E-02
2.00E+02,3.08E-02
3.00E+02,3.20E-02
4.00E+02,3.28E-02
5.00E+02,3.33E-02
6.00E+02,3.36E-02
8.00E+02,3.41E-02
1.00E+03,3.45E-02
1.50E+03,3.50E-02
2.00E+03,3.52E-02
3.00E+03,3.55E-02
4.00E+03,3.57E-02
5.00E+03,3.58E-02
6.00E+03,3.58E-02
8.00E+03,3.59E-02
1.00E+04,3.60E-02
1.50E+04,3.61E-02
2.00E+04,3.61E-02
3.00E+04,3.62E-02
4.00E+04,3.62E-02
5.00E+04,3.62E-02
6.00E+04,3.62E-02
8.00E+04,3.62E-02
1.00E+05,3.62E-02
